Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TG: Svn.Su DayBook:Admin,32000,312,137,952,"113,56","0,000%","30,67761","117,28","63,39","3914,8"
TG: Svn.Su DayBook:Auth form,32000,106,46,702,"65,94","0,000%","30,68947","95,95","20,59","3201,6"
TG: Svn.Su DayBook:Login 1,32000,473,231,1584,"124,30","0,000%","30,67920","63,59","115,16","2122,5"
TG: Svn.Su DayBook:Admin Welcome 1,32000,211,104,1025,"68,42","0,000%","30,68217","728,41","21,96","24310,3"
TG: Svn.Su DayBook:Admin welcome 2,32000,116,46,650,"75,79","0,000%","30,68423","15,92","34,45","531,4"
TG: Svn.Su DayBook:Admin by day 1,32000,111,48,624,"62,34","0,000%","30,68411","101,95","22,17","3402,5"
TG: Svn.Su DayBook:Admin by day 2,32000,118,50,666,"62,73","0,000%","30,68449","47,86","34,87","1597,2"
TG: Svn.Su DayBook:Admin by day 3,32000,387,198,1527,"97,95","0,000%","30,67873","722,64","75,02","24120,6"
TG: Svn.Su DayBook:Welcome 2,32000,223,106,954,"81,30","0,000%","30,68505","695,11","20,65","23196,7"
TOTAL,288000,228,46,1584,"153,88","0,000%","275,79655","2585,52","407,78","9599,7"
