time;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked;
11:00:00;0;512;1.81;1.43;1.55;1;
11:01:00;0;512;2.03;1.59;1.60;0;
11:02:00;0;512;1.86;1.65;1.62;0;
11:03:00;0;512;1.83;1.68;1.63;0;
11:04:00;1;512;1.73;1.68;1.64;0;
11:05:00;1;510;1.54;1.64;1.63;0;
11:06:00;26;531;6.12;2.68;1.97;0;
11:07:00;21;531;16.21;6.15;3.21;0;
11:08:00;18;531;19.45;8.89;4.33;0;
11:09:00;75;903;25.78;12.19;5.73;0;
11:10:00;189;911;128.29;42.82;16.59;0;
11:11:00;352;903;167.64;71.12;28.04;0;
11:12:00;50;904;205.76;100.70;40.96;0;
11:13:00;0;903;77.56;83.13;38.67;0;
